Session_ID,Student_No,Group
1085592,1,1329
1085615,5,1329
1085623,5,1329
1085629,7,1329
1085654,14,1341
1085656,22,1341
1085659,14,1341
1085666,48,1351
1085671,95,1351
1085682,55,1351
1086519,74,1442
1087555,16,1442
1089798,120,1442
1089801,113,1442
1089995,6,1329
1090003,2,1329
1090007,7,1329
1090076,25,1341
1090081,34,1341
1090754,61,1351
1090757,64,1351
1090783,56,1351
1090784,48,1351
1090799,20,1341
1093940,115,1442
1094449,125,1442
1094455,113,1442
1094533,4,1329
1094542,17,1341
1094543,27,1341
1094544,36,1341
1094545,14,1341
1094548,37,1351
1094549,30,1351
1094550,89,1351
1094552,20,1351
1095973,8,1329
1099061,6,1329
1099143,32,1351
1099144,17,1351
1099150,8,1341
1099151,13,1341
1099727,4,1329
1099732,4,1329
1099736,7,1329
1099737,10,1329
1099740,6,1329
1099946,88,1442
1099949,117,1442
1099951,127,1442
1099957,136,1442
1100611,5,1329
1100899,37,1351
1100908,12,1341
1100921,59,1351
1100932,9,1341
1100953,25,1341
1100955,19,1341
1100959,86,1351
1103938,273,1442
1104058,9,1329
1104065,8,1329
1104067,8,1329
1104070,2,1329
1104113,23,1341
1104149,15,1341
1104156,12,1341
1104158,91,1351
1104171,153,1351
1104952,297,1351
1104963,17,1341
1105534,13,1341
1105536,53,1351
1108473,4,1329
1108484,7,1329
1108487,9,1329
1108489,5,1329
1108491,3,1329
1108635,96,1351
1108638,8,1341
1108640,58,1351
1108645,35,1341
1108647,38,1341
1108648,24,1351
1108650,33,1341
1108651,32,1351
1108764,76,1351
1110029,254,1442
1111063,255,1442
1111064,249,1442
1111065,203,1442
1112595,235,1442
1114027,220,1442
1114516,180,1442
1114518,178,1442
1114522,174,1442
1114686,6,1329
1114709,3,1329
1114713,3,1329
1114723,5,1329
1114862,35,1351
1114864,17,1341
1114865,31,1351
1114868,30,1341
1114869,24,1341
1114873,34,1351
1116692,32,1351
1116717,21,1341
1116721,18,1351
1116741,30,1341
1116815,19,1351
1118380,4,1329
1118391,7,1329
1118404,5,1329
1118441,4,1329
1120768,140,1442
1120770,150,1442
1120774,148,1442
1120886,21,1329
1121650,39,1351
1121660,6,1329
1121661,11,1329
1121662,3,1329
1121663,13,1329
1122205,38,1341
1122250,10,1341
1122254,28,1341
1122262,28,1351
1122282,33,1341
1122398,23,1341
1123214,25,1329
1123215,12,1329
1123436,7,1341
1124234,6,1329
1124586,166,1442
1124589,148,1442
1124591,145,1442
1124594,148,1442
1124657,34,1341
1125489,31,1341
1127002,26,1351
1127208,9,1351
1127675,19,1341
1127859,7,1329
1128975,47,1341
1128998,25,1341
1129003,26,1351
1130536,32,1351
1130623,15,4858
1131145,36,1351
1131149,19,1351
1131761,80,5475
1131762,262,5475
1132213,32,1329
1132390,11,1329
1132503,50,1351
1133683,58,1329
1133802,34,1341
1133830,108,5475
1134762,44,1341
1134829,193,1442
1135043,30,1329
1135191,168,1442
1135401,7,1329
1135410,184,1442
1135411,172,1442
1135412,158,1442
1135588,44,1351
1136648,43,1351
1136749,9,1329
1136769,5,1329
1136771,18,1329
1136773,45,1351
1136774,6,1329
1136775,21,1351
1136781,17,1329
1136782,34,1351
1136784,34,1351
1136794,89,1341
1136798,42,1341
1136806,41,1341
1136813,18,1351
1136815,28,1351
1136816,30,1351
1138410,34,1351
1138475,7,6250
1138521,45,1341
1139520,9,1329
1139524,34,1329
1139529,8,1329
1139548,14,1329
1140071,44,1341
1140467,18,1329
1140510,161,1442
1140521,8,6250
1141920,173,1442
1142065,36,1351
1142168,152,1442
1142169,184,1442
1142170,153,1442
1142434,6,6250
1143081,37,4858
1143100,26,1329
1143638,21,1329
1143770,19,4858
1143826,17,4858
1143904,33,4858
1144387,42,1341
1144396,27,4858
1145844,15,4858
1145892,7,6250
1146385,30,1351
1146552,32,1341
1146645,19,1329
1146699,34,6250
1147210,19,1341
1147213,37,1351
1147219,42,1351
1147227,17,1341
1147230,36,1351
1147235,47,1341
1147245,45,1351
1147255,13,1341
1147853,56,4858
1147989,50,4858
1148163,17,1329
1148204,22,1341
1148451,14,1329
1148452,7,1329
1148513,172,1442
1148518,274,1442
1148694,31,6250
1149309,49,1341
1150250,49,4858
1150329,20,1329
1150531,46,1341
1150543,18,1329
1150553,9,1329
1150556,55,1329
1150905,21,6250
1150908,40,6250
1151002,48,1341
1151225,203,1442
1151727,44,1351
1152091,31,1351
1152597,69,1351
1153063,11,1329
1153507,20,1341
1153799,47,6250
1154352,17,1341
1154356,17,1341
1154787,13,1341
1155990,8,1329
1156128,91,7369
1156149,78,7369
1156152,50,7369
1156160,85,7369
1156537,58,6250
1156545,53,6250
1157207,49,7339
1157208,58,7339
1157209,37,7339
1157210,35,7339
1157212,23,7339
1157498,79,4858
1157518,64,4858
1157607,48,4858
1157616,130,4858
1157805,51,6250
1157996,92,4858
1158005,43,7339
1158008,40,7339
1158011,33,7339
1158013,32,7339
1158020,31,7339
1158198,22,1341
1158970,52,1341
1160024,59,1341
1160153,45,1351
1161527,46,1341
1161583,18,1351
1162320,46,7369
1162444,35,6250
1162586,46,6250
1162661,44,6250
1163565,41,6250
1163605,8,1329
1164655,170,7369
1166084,137,6250
1166106,107,6250
1168067,197,6250
1168956,40,7339
1169058,71,7339
1169149,104,7339
1169152,150,7339
1169312,73,7339
1169313,66,7339
1169326,86,7339
1169366,218,1442
1169783,102,6250
1170104,78,4858
1173293,58,4858
1173341,90,4858
1186528,75,7339
1187269,142,6250
1188807,256,6250
1194213,215,7339
1198097,247,6250
1198114,97,6250
1204153,429,6250
1204164,206,6250
1205721,41,7339
1213234,97,6250
1218151,1,6250
1226623,218,6250
1227894,202,6250
1228034,80,6250
1230444,35,6250
1231335,45,1341
1231366,37,1351
1231369,28,1351
1231375,38,1351
1232908,37,1351
1238845,88,1341
1239694,18,1351
1241448,36,6250
1242081,44,1341
1242106,27,1341
1244754,49,1341
1246097,2,6250
1246809,143,6250
1247213,69,1341
1251438,56,7339
1252001,42,4858
1252139,129,6250
1252948,89,1341
1253845,62,1341
1255022,69,1341
1255566,90,1341
1256723,66,6250
1256758,26,7339
